category,user_id,product_group,item_name,clean,label_ground,rule_label,rule_conf,ml_label,ml_conf,pred_label,pred_source,flag_review,noise_flag
Medical,68d6a95c2f7243bd8e04e0e0,Dụng cụ Y tế,Pmc Khẩu Trang Y Tế Màu Xanh,pmc khẩu trang y tế màu xanh,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.882,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Pmc Khau Trang Y Te Mau Tra,pmc khau trang y te mau tra,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.899,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Tang Pmc Khau Trang Y Te Ma,tang pmc khau trang y te ma,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.874,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Pmc Băng Cá Nhân Trong Suốt,pmc băng cá nhân trong suốt,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.731,Dụng cụ Y tế,ground-truth,0,False
Medical,68e4f8f3a48ee0b704010230,Dụng cụ Y tế,Khau Trang Y Te Mau Trắng,khau trang y te mau trắng,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.877,Dụng cụ Y tế,ground-truth,0,False
Medical,68e4f8f3a48ee0b704010230,Dụng cụ Y tế,Khau Trang Y Te,khau trang y te,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.949,Dụng cụ Y tế,ground-truth,0,False
Medical,68a0301b10ff89cfd70073c6,Dụng cụ Y tế,Allisa Que Thu Thai Nhanh H,allisa que thu thai nhanh h,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.709,Dụng cụ Y tế,ground-truth,0,False
Medical,68a2e383f5d31ba5e3085431,Dụng cụ Y tế,Pmc Khẩu Trang Y Tế Màu Trà,pmc khẩu trang y tế màu trà,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.868,Dụng cụ Y tế,ground-truth,0,False
Medical,682e8f2d4706b8b051034e82,Dụng cụ Y tế,Pmc Khau Trang Y Te Mau Xan,pmc khau trang y te mau xan,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.899,Dụng cụ Y tế,ground-truth,0,False
Medical,68906fb0b5fbbe13230faa4b,Dụng cụ Y tế,Pmc Khẩu Trang Y Tế Màu Xanh,pmc khẩu trang y tế màu xanh,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.882,Dụng cụ Y tế,ground-truth,0,False
Medical,6736d85fea24cc986d0c0cf4,Dụng cụ Y tế,Gạc Tiệt Trùng Đóng Pha Lớn 8X9X8Cm Gói 10 Miếng,gạc tiệt trùng đóng pha lớn 8x9x8cm gói,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.694,Dụng cụ Y tế,ground-truth,0,False
Medical,6736d85fea24cc986d0c0cf4,Dụng cụ Y tế,Băng Keo Lụa Urgosyval 1.25Cm X 5M,băng keo lụa urgosyval 1 25cm x 5m,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.721,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Dr.Papie Gạc Răng Miệng Em,dr papie gạc răng miệng em,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.825,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Pmc Khẩu Trang Soft-Fit,pmc khẩu trang soft-fit,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.812,Dụng cụ Y tế,ground-truth,0,False
Medical,673858d8454318d3430ab225,Dụng cụ Y tế,Khan Uot N.Lon Quick Nurse50M,khan uot n lon quick nurse50m,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.638,Dụng cụ Y tế,ground-truth,0,False
Medical,67408735a9b2e83130072a3e,Dụng cụ Y tế,Khau Trang Y Te Mau Vang,khau trang y te mau vang,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.877,Dụng cụ Y tế,ground-truth,0,False
Medical,679485ab3e14986c600a61a7,Dụng cụ Y tế,Urgo Wasshroof 30 Mieng - Bang Ca Nhan It Tham Nuoc,urgo wasshroof 30 mieng - bang ca nhan it tham nuoc,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.723,Dụng cụ Y tế,ground-truth,0,False
Medical,674e7030701334f5d90490e0,Dụng cụ Y tế,Máy Đo Huyết Áp Bắp Tay Tự Động And Ua-1020 Afib - Cảnh Báo Đột Quỵ,máy đo huyết áp bắp tay tự động and ua-1020 afib - cảnh báo đột quỵ,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.616,Dụng cụ Y tế,ground-truth,0,False
Medical,6738a4b9030eedb74a0b0145,Dụng cụ Y tế,Pvn20364 Tui Chuom Am Nsd24112 800Ml,tui chuom am,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.694,Dụng cụ Y tế,ground-truth,0,False
Medical,679485ab3e14986c600a61a7,Dụng cụ Y tế,Khau Trang Y Te Anyguard Senior Khuep Hq,khau trang y te anyguard senior khuep hq,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.812,Dụng cụ Y tế,ground-truth,0,False
Medical,6738241af0626a9b470be2f2,Dụng cụ Y tế,Urgosval 2.5Cmx5M (Strong Adhesive Tape) - Băng Keo Lụa,urgosval 2 5cmx5m strong adhesive tape - băng keo lụa,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.714,Dụng cụ Y tế,ground-truth,0,False
Medical,6738241af0626a9b470be2f2,Dụng cụ Y tế,Urgo Family 2Cm X 6Cm - Băng Cá Nhân 5+5 Miếng,urgo family 2cm x 6cm - băng cá nhân 5+,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.722,Dụng cụ Y tế,ground-truth,0,False
Medical,673746f4bef12285b40fb794,Dụng cụ Y tế,Pmc Gac Tiet Trung 8X10Cm,pmc gac tiet trung 8x10cm,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.734,Dụng cụ Y tế,ground-truth,0,False
Medical,673746f4bef12285b40fb794,Dụng cụ Y tế,Urgopor Bang Keo Giay,urgopor bang keo giay,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.691,Dụng cụ Y tế,ground-truth,0,False
Medical,646b7058b7d6faddab0a5472,Dụng cụ Y tế,Urgotul 15Cm X 20Cm 10 Miếng - Gac Lưới Vô Trùng Chống Dính,urgotul 15cm x 20cm - gac lưới vô trùng chống dính,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.664,Dụng cụ Y tế,ground-truth,0,False
Medical,6738302ef1e23b66110f0287,Dụng cụ Y tế,Khau Trang Y Te Safefit 4 Lop Mau,khau trang y te safefit 4 lop mau,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.844,Dụng cụ Y tế,ground-truth,0,False
Medical,6738302ef1e23b66110f0287,Dụng cụ Y tế,Khau Trang Y Te Ilt 4 Lop Trang Liworldco,khau trang y te ilt 4 lop trang liworldco,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.858,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Syringe 10Cc- Vikimco 100Pcs/Box (Bom Tiem),syringe 10cc- vikimco 100pcs/box bom tiem,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.677,Dụng cụ Y tế,ground-truth,0,False
Medical,67399cf8dd88c143010e544d,Dụng cụ Y tế,Gauze Sterile- 10X10Cm 12Plies (Gac Tiet Trung-Gpcs/Pkt),gauze sterile- 10x10cm 12plies gac tiet trung-gpcs/pkt,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.696,Dụng cụ Y tế,ground-truth,0,False
Medical,67380c2bf3ccefe0d8060769,Dụng cụ Y tế,Tui Chuom Ni Cappybara Nho,tui chuom ni cappybara nho,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.724,Dụng cụ Y tế,ground-truth,0,False
Medical,678f02534c1e64b6380b67f2,Dụng cụ Y tế,Que Thu Thai - Safefti Pregnancy Test Kit,que thu thai - safefti pregnancy test kit,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.707,Dụng cụ Y tế,ground-truth,0,False
Medical,646f04a3bed136fdd408f996,Dụng cụ Y tế,Pmc Khẩu Trang 3D Trẻ Em Hộp,pmc khẩu trang 3d trẻ em hộp,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.855,Dụng cụ Y tế,ground-truth,0,False
Medical,646f04a3bed136fdd408f996,Dụng cụ Y tế,Tặng Pmc Khẩu Trang 3D Trẻ Hộp,tặng pmc khẩu trang 3d trẻ hộp,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.827,Dụng cụ Y tế,ground-truth,0,False
Medical,674099f57bb4a48f3d05ebea,Dụng cụ Y tế,Gạc Răng Miệng Dr. Papie 30 Miếng - Hộp Đôi,gạc răng miệng dr papie - hộp đôi,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.78,Dụng cụ Y tế,ground-truth,0,False
Medical,677fe62cfb893d87d901344c,Dụng cụ Y tế,Bang Ca Nhan Urgo Durable 102M/H,bang ca nhan urgo durable 102m/h,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.771,Dụng cụ Y tế,ground-truth,0,False
Medical,6407d94ee3693f15520ea4f5,Dụng cụ Y tế,Khau Trang Y Te 3 Lop Mien Bac 50 Cai 175*95,khau trang y te 3 lop mien bac 50 cai 175 95,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.802,Dụng cụ Y tế,ground-truth,0,False
Medical,673605eabb7b4ce39f0c2efb,Dụng cụ Y tế,Bom Tiem 5 25G Vinahankook 100 Cai,bom tiem 5 vinahankook 100 cai,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.683,Dụng cụ Y tế,ground-truth,0,False
Medical,67678a166e193cb2e90e956f,Dụng cụ Y tế,Bông Y Tế Quick Nurse 25G,bông y tế quick nurse,Dụng cụ Y tế,Khác,0.0,Dụng cụ Y tế,0.697,Dụng cụ Y tế,ground-truth,0,False
Medical,673876e8ea88e3612b078260,Dụng cụ Y tế,Gạc Y Tế Tiệt Trùng Bảo Thạch 8Cm X10Cm X 12 Lớp Bịch 10 Miếng,gạc y tế tiệt trùng bảo thạch 8cm x10cm x 12 lớp bịch,Dụng cụ Y tế,Dụng cụ Y tế,1.0,Dụng cụ Y tế,0.705,Dụng cụ Y tế,ground-truth,0,False
