item_name,clean,pred_label
Pmc Khẩu Trang Y Tế Màu Xanh,pmc khẩu trang y tế màu xanh,Dụng cụ Y tế
Pmc Khau Trang Y Te Mau Tra,pmc khau trang y te mau tra,Dụng cụ Y tế
Tang Pmc Khau Trang Y Te Ma,tang pmc khau trang y te ma,Dụng cụ Y tế
Pmc Băng Cá Nhân Trong Suốt,pmc băng cá nhân trong suốt,Dụng cụ Y tế
Khau Trang Y Te Mau Trắng,khau trang y te mau trắng,Dụng cụ Y tế
Khau Trang Y Te,khau trang y te,Dụng cụ Y tế
Allisa Que Thu Thai Nhanh H,allisa que thu thai nhanh h,Dụng cụ Y tế
Pmc Khẩu Trang Y Tế Màu Trà,pmc khẩu trang y tế màu trà,Dụng cụ Y tế
Pmc Khau Trang Y Te Mau Xan,pmc khau trang y te mau xan,Dụng cụ Y tế
Pmc Khẩu Trang Y Tế Màu Xanh,pmc khẩu trang y tế màu xanh,Dụng cụ Y tế
Gạc Tiệt Trùng Đóng Pha Lớn 8X9X8Cm Gói 10 Miếng,gạc tiệt trùng đóng pha lớn 8x9x8cm gói,Dụng cụ Y tế
Băng Keo Lụa Urgosyval 1.25Cm X 5M,băng keo lụa urgosyval 1 25cm x 5m,Dụng cụ Y tế
Dr.Papie Gạc Răng Miệng Em,dr papie gạc răng miệng em,Dụng cụ Y tế
Pmc Khẩu Trang Soft-Fit,pmc khẩu trang soft-fit,Dụng cụ Y tế
Khan Uot N.Lon Quick Nurse50M,khan uot n lon quick nurse50m,Dụng cụ Y tế
Khau Trang Y Te Mau Vang,khau trang y te mau vang,Dụng cụ Y tế
Urgo Wasshroof 30 Mieng - Bang Ca Nhan It Tham Nuoc,urgo wasshroof 30 mieng - bang ca nhan it tham nuoc,Dụng cụ Y tế
Máy Đo Huyết Áp Bắp Tay Tự Động And Ua-1020 Afib - Cảnh Báo Đột Quỵ,máy đo huyết áp bắp tay tự động and ua-1020 afib - cảnh báo đột quỵ,Dụng cụ Y tế
Pvn20364 Tui Chuom Am Nsd24112 800Ml,tui chuom am,Dụng cụ Y tế
Khau Trang Y Te Anyguard Senior Khuep Hq,khau trang y te anyguard senior khuep hq,Dụng cụ Y tế
Urgosval 2.5Cmx5M (Strong Adhesive Tape) - Băng Keo Lụa,urgosval 2 5cmx5m strong adhesive tape - băng keo lụa,Dụng cụ Y tế
Urgo Family 2Cm X 6Cm - Băng Cá Nhân 5+5 Miếng,urgo family 2cm x 6cm - băng cá nhân 5+,Dụng cụ Y tế
Pmc Gac Tiet Trung 8X10Cm,pmc gac tiet trung 8x10cm,Dụng cụ Y tế
Urgopor Bang Keo Giay,urgopor bang keo giay,Dụng cụ Y tế
Urgotul 15Cm X 20Cm 10 Miếng - Gac Lưới Vô Trùng Chống Dính,urgotul 15cm x 20cm - gac lưới vô trùng chống dính,Dụng cụ Y tế
Khau Trang Y Te Safefit 4 Lop Mau,khau trang y te safefit 4 lop mau,Dụng cụ Y tế
