category,user_id,product_group,item_name,clean,label_ground,rule_label,rule_conf,rule_match,ml_label,ml_conf,pred_label,pred_source,flag_review,flag_reason,noise_flag
Beverages,68d6a95c2f7243bd8e04e0e0,Nước tăng lực,Sting,sting,Nước tăng lực,Nước tăng lực,1.0,\bsting\b,Nước tăng lực,0.996,Nước tăng lực,ground-truth,0,,
Beverages,67408735a9b2e83130072a3e,Nước tăng lực,Nước Tăng Lực,nước tăng lực,Nước tăng lực,Nước tăng lực,1.0,\bnước tăng lực\b,Nước tăng lực,0.941,Nước tăng lực,ground-truth,0,,
Beverages,692d6407b7ce35b47204f594,Nước tăng lực,Red Bull Nuoc Tang Luc Extra 250,red bull nuoc tang luc extra 250,Nước tăng lực,Nước tăng lực,1.0,\bred\s?bull\b,Nước tăng lực,0.982,Nước tăng lực,ground-truth,1,"Có thể là nguyên liệu, không phải đồ uống",Nguyên liệu/Topping
Beverages,6925b5803ce7fab9a20c6fa4,Nước tăng lực,Sting,sting,Nước tăng lực,Nước tăng lực,1.0,\bsting\b,Nước tăng lực,0.996,Nước tăng lực,ground-truth,0,,
Beverages,67399cf8dd88c143010e544d,Nước tăng lực,T3.Sting Dâu Lon Cao 320,t3 sting dâu lon cao 320,Nước tăng lực,Nước tăng lực,1.0,\bsting\b,Nước tăng lực,0.922,Nước tăng lực,ground-truth,0,,
Beverages,689eb5bb08d8148e4a0384b4,Nước tăng lực,Redbull Lon 250Ml,redbull lon,Nước tăng lực,Nước tăng lực,1.0,\bred\s?bull\b,Nước tăng lực,0.972,Nước tăng lực,ground-truth,0,,
Beverages,689eb5bb08d8148e4a0384b4,Nước tăng lực,Nước Tăng Lực Number1 Chai 330Ml,nước tăng lực number1 chai,Nước tăng lực,Nước tăng lực,1.0,\bnước tăng lực\b,Nước tăng lực,0.97,Nước tăng lực,ground-truth,0,,
Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Redbull Lon 250Ml,redbull lon,Nước tăng lực,Nước tăng lực,1.0,\bred\s?bull\b,Nước tăng lực,0.972,Nước tăng lực,ground-truth,0,,
Beverages,689eb5bb08d8148e4a0384b4,Nước tăng lực,Wakeup 247 Nuoc Tang Luc Guarana,wakeup 247 nuoc tang luc guarana,Nước tăng lực,Nước tăng lực,1.0,\bwake\s?up\b,Nước tăng lực,0.906,Nước tăng lực,ground-truth,0,,
Beverages,67408735a9b2e83130072a3e,Nước tăng lực,Nuoc Tang Luc Redbull Extra 250Ml,nuoc tang luc redbull extra,Nước tăng lực,Nước tăng lực,1.0,\bred\s?bull\b,Nước tăng lực,0.983,Nước tăng lực,ground-truth,1,"Có thể là nguyên liệu, không phải đồ uống",Nguyên liệu/Topping
