category,user_id,product_group,item_name,clean,label_ground,rule_label,rule_conf,rule_match,ml_label,ml_conf,pred_label,pred_source,flag_review,flag_reason,noise_flag
Cosmetic,693c2d5dc18d106633067741,Kem đánh răng,kdr sensodyne trắng sáng 100g,kem đánh răng sensodyne trắng sáng,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.832,Personal Care,ground-truth,0,,
Cosmetic,693d899e8490ee395a0b6e36,Sữa tắm,Lifebuoy - Xà bông cục bảo vệ vượt trội 90g (cái),lifebuoy - xà bông cục bảo vệ vượt trội cái,Haircare & Body,Haircare & Body,1.0,\blifebuoy\b,Haircare & Body,0.825,Haircare & Body,ground-truth,0,,
Cosmetic,68d6a95c2f7243bd8e04e0e0,Kem đánh răng,SENSDYNE Kem đánh răng cool Gel 100g,sensdyne kem đánh răng cool gel,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.842,Personal Care,ground-truth,0,,
Cosmetic,689eb5bb08d8148e4a0384b4,Kem đánh răng,KDR P/S THAN H.TINH,kem đánh răng p/s than h tinh,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.915,Personal Care,ground-truth,0,,
Cosmetic,689089abbdd8621d5f08b58a,Kem đánh răng,Kem đánh răng COLGATE Max Fresh,kem đánh răng colgate max fresh,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.926,Personal Care,ground-truth,0,,
Cosmetic,689089abbdd8621d5f08b58a,Kem đánh răng,Kem đánh răng COLGATE Max Fresh L,kem đánh răng colgate max fresh l,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.92,Personal Care,ground-truth,0,,
Cosmetic,693d899e8490ee395a0b6e36,Xà bông,Lifebuoy - Xà bông cục bảo vệ vượt trội 90g,lifebuoy - xà bông cục bảo vệ vượt trội,Haircare & Body,Haircare & Body,1.0,\blifebuoy\b,Haircare & Body,0.827,Haircare & Body,ground-truth,0,,
Cosmetic,67399cf8dd88c143010e544d,Kem đánh răng,KDR P/S Muoi hong18,kem đánh răng p/s muoi hong18,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.841,Personal Care,ground-truth,0,,
Cosmetic,6736d85fea24cc986d0c0cf4,Kem đánh răng,kem đánh răng p/s bảo vệ 123 chăm sóc toàn diện 230g,kem đánh răng p/s bảo vệ 123 chăm sóc toàn diện,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.86,Personal Care,ground-truth,0,,
Cosmetic,6736d85fea24cc986d0c0cf4,Kem đánh răng,kdr trẻ em colgate tiger 40g,kem đánh răng trẻ em colgate tiger,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.869,Personal Care,ground-truth,0,,
Cosmetic,68d6a95c2f7243bd8e04e0e0,Sữa tắm,PURITÉ Sữa tắm hoa anh đào 850ml,purité sữa tắm hoa anh đào,Haircare & Body,Haircare & Body,1.0,\bsữa\s*tắm\b,Haircare & Body,0.805,Haircare & Body,ground-truth,0,,
Cosmetic,67399cf8dd88c143010e544d,Kem đánh răng,COLGATE KDR MAXFRESH PEPPER,colgate kem đánh răng maxfresh pepper,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.852,Personal Care,ground-truth,0,,
Cosmetic,6736d85fea24cc986d0c0cf4,Dầu gội,dầu gội sạch gàu head & shoulders cool menthol bạc hà 480ml,dầu gội sạch gàu head & shoulders cool menthol bạc hà,Haircare & Body,Haircare & Body,1.0,\bdầu\s*gội\b,Haircare & Body,0.726,Haircare & Body,ground-truth,0,,
Cosmetic,68a0182c452e6c7a2109187b,Xà bông,xà bông cục lifebuoy bảo vệ vượt trội hộp 2 cục 90g,xà bông cục lifebuoy bảo vệ vượt trội hộp 2 cục,Haircare & Body,Haircare & Body,1.0,\blifebuoy\b,Haircare & Body,0.824,Haircare & Body,ground-truth,0,,
Cosmetic,67399cf8dd88c143010e544d,Sữa rửa mặt,EE100 Sữa rửa mặt nghệ 100g,sữa rửa mặt nghệ,Skincare,Skincare,0.85,\bsữa\s*rửa\s*mặt\b,Skincare,0.783,Skincare,ground-truth,0,,
Cosmetic,67399cf8dd88c143010e544d,Kem đánh răng,KDR OralClean Tripl,kem đánh răng oralclean tripl,Personal Care,Personal Care,1.0,\bkem\s*đánh\s*răng\b,Personal Care,0.772,Personal Care,ground-truth,0,,
Cosmetic,68d6a95c2f7243bd8e04e0e0,Son,SVR SON DƯỠNG ẨM MÔI K,svr son dưỡng ẩm môi k,Makeup,Makeup,0.7,\bson\s*(môi|tint|bóng|kem|lì|dưỡng)?\b,Makeup,0.729,Makeup,ground-truth,0,,
Cosmetic,689eb5bb08d8148e4a0384b4,Dầu gội,dầu gội palmolive silky straight 180ml (tím),dầu gội palmolive silky straight tím,Haircare & Body,Haircare & Body,1.0,\bdầu\s*gội\b,Haircare & Body,0.712,Haircare & Body,ground-truth,0,,
Cosmetic,67399cf8dd88c143010e544d,Sữa tắm,VAGA Sữa tắm hương phấn đam mê 1150g,vaga sữa tắm hương phấn đam mê,Haircare & Body,Haircare & Body,1.0,\bsữa\s*tắm\b,Haircare & Body,0.725,Haircare & Body,ground-truth,0,,
Cosmetic,67399cf8dd88c143010e544d,Sữa rửa mặt,SENKA Sữa rửa mặt dành cho da mụn 100g,senka sữa rửa mặt dành cho da mụn,Skincare,Skincare,0.85,\bsữa\s*rửa\s*mặt\b,Skincare,0.85,Skincare,ground-truth,0,,
Cosmetic,68f999edca64bf26a60913a4,Dầu gội,NGUYÊN XUÂN - DẦU GỘI DƯỢC LIỆU BỒNG BỀNH CHAI 450ML,nguyên xuân - dầu gội dược liệu bồng bềnh chai,Haircare & Body,Haircare & Body,1.0,\bdầu\s*gội\b,Haircare & Body,0.726,Haircare & Body,ground-truth,0,,
