item_name,clean,pred_label
kdr sensodyne trắng sáng 100g,kem đánh răng sensodyne trắng sáng,Personal Care
Lifebuoy - Xà bông cục bảo vệ vượt trội 90g (cái),lifebuoy - xà bông cục bảo vệ vượt trội cái,Haircare & Body
SENSDYNE Kem đánh răng cool Gel 100g,sensdyne kem đánh răng cool gel,Personal Care
KDR P/S THAN H.TINH,kem đánh răng p/s than h tinh,Personal Care
Kem đánh răng COLGATE Max Fresh,kem đánh răng colgate max fresh,Personal Care
Kem đánh răng COLGATE Max Fresh L,kem đánh răng colgate max fresh l,Personal Care
Lifebuoy - Xà bông cục bảo vệ vượt trội 90g,lifebuoy - xà bông cục bảo vệ vượt trội,Haircare & Body
KDR P/S Muoi hong18,kem đánh răng p/s muoi hong18,Personal Care
kem đánh răng p/s bảo vệ 123 chăm sóc toàn diện 230g,kem đánh răng p/s bảo vệ 123 chăm sóc toàn diện,Personal Care
kdr trẻ em colgate tiger 40g,kem đánh răng trẻ em colgate tiger,Personal Care
PURITÉ Sữa tắm hoa anh đào 850ml,purité sữa tắm hoa anh đào,Haircare & Body
COLGATE KDR MAXFRESH PEPPER,colgate kem đánh răng maxfresh pepper,Personal Care
dầu gội sạch gàu head & shoulders cool menthol bạc hà 480ml,dầu gội sạch gàu head & shoulders cool menthol bạc hà,Haircare & Body
xà bông cục lifebuoy bảo vệ vượt trội hộp 2 cục 90g,xà bông cục lifebuoy bảo vệ vượt trội hộp 2 cục,Haircare & Body
EE100 Sữa rửa mặt nghệ 100g,sữa rửa mặt nghệ,Skincare
KDR OralClean Tripl,kem đánh răng oralclean tripl,Personal Care
SVR SON DƯỠNG ẨM MÔI K,svr son dưỡng ẩm môi k,Makeup
dầu gội palmolive silky straight 180ml (tím),dầu gội palmolive silky straight tím,Haircare & Body
VAGA Sữa tắm hương phấn đam mê 1150g,vaga sữa tắm hương phấn đam mê,Haircare & Body
SENKA Sữa rửa mặt dành cho da mụn 100g,senka sữa rửa mặt dành cho da mụn,Skincare
NGUYÊN XUÂN - DẦU GỘI DƯỢC LIỆU BỒNG BỀNH CHAI 450ML,nguyên xuân - dầu gội dược liệu bồng bềnh chai,Haircare & Body
