item_name,clean,label_ground,ml_label_v3,ml_conf_v3
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli (Sig) Thịt Heo Xay Đặc Biệt,meat deli sig thịt heo xay đặc biệt,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli Nạc Đùi Heo,meat deli nạc đùi heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.986
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Nạc Roi Heo Xay-Vs990,nạc roi heo xay-vs990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.992
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay Feddy 500G,thit heo xay feddy,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nac Roi Heo Xay-Ves990,nac roi heo xay-ves990,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Bán Kèm: Thịt Heo Xay Cp 200G,bán kèm thịt heo xay cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.969
Thịt Heo Xay Meat Master 400G,thịt heo xay meat master,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Thịt Heo Xay Meat Master 400G,thịt heo xay meat master,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Thit Heo Xay - (Kg),thit heo xay - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0
Thịt Heo Xay (Kg),thịt heo xay kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nạc Heo Xay,nạc heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Thit Cot Sot Riua Muon Suon Heo Kg,thit cot sot riua muon suon heo kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.905
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Chan Gio Heo C.P,chan gio heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Thịt Heo Làm Sạch (Kg),thịt heo làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Chan Gio Heo Duc,chan gio heo duc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.983
Chan Gio Heo C.P,chan gio heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Thit Heo Xay - Cp,thit heo xay - cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Thit Heo Xay,thit heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Bap Gio Heo Xong Khoi 500Gr -Hf,bap gio heo xong khoi 500gr -hf,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.862
Thịt Heo Nướng (Cây),thịt heo nướng cây,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.911
Thit Heo Nuong (Cay),thit heo nuong cay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.909
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Heo Nga,ba roi heo nga,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Thit Ba Roi Heo- Cp,thit ba roi heo- cp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.995
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.999
Ba Roi Heo C.P,ba roi heo c p,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
