category,user_id,product_group,item_name,clean,label_ground,rule_label,rule_conf,rule_match,ml_label,ml_conf,pred_label,pred_source,flag_review,flag_reason,noise_flag
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.992,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,68d6a95c2f7243bd8e04e0e0,Thịt Heo,Thit Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.993,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli (Sig) Thịt Heo Xay Đặc Biệt,meat deli sig thịt heo xay đặc biệt,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.966,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.993,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli Nạc Đùi Heo,meat deli nạc đùi heo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bnạc\s*đùi\b,Thịt - Hải sản - Trứng,0.971,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,689eb5bb08d8148e4a0384b4,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Khác,0.0,,Thịt - Hải sản - Trứng,0.994,Thịt - Hải sản - Trứng,ground-truth,1,,
Food,68a1a305db1cbf6dad0dbf4a,Thịt Heo,Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.992,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,68a1a305db1cbf6dad0dbf4a,Thịt Heo,Nạc Roi Heo Xay-Vs990,nạc roi heo xay-vs990,Thịt - Hải sản - Trứng,Khác,0.0,,Thịt - Hải sản - Trứng,0.982,Thịt - Hải sản - Trứng,ground-truth,1,,
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Khác,0.0,,Thịt - Hải sản - Trứng,0.994,Thịt - Hải sản - Trứng,ground-truth,1,,
Food,68d0b02df1a1685ae00ee19c,Thịt Heo,Thit Heo Xay Feddy 500G,thịt heo xay feddy,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.925,Thịt - Hải sản - Trứng,ground-truth,0,,
Food,6881b51a79e3ea00e103549b,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng,Khác,0.0,,Thịt - Hải sản - Trứng,0.994,Thịt - Hải sản - Trứng,ground-truth,1,,
Food,6881b51a79e3ea00e103549b,Thịt Heo,Nac Roi Heo Xay-Ves990,nac roi heo xay-ves990,Thịt - Hải sản - Trứng,Khác,0.0,,Thịt - Hải sản - Trứng,0.972,Thịt - Hải sản - Trứng,ground-truth,1,,
Food,68d6a95c2f7243bd8e04e0e0,Thịt Heo,Thịt Heo Đùi 160G (Goi),thịt heo đùi goi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b,Thịt - Hải sản - Trứng,0.939,Thịt - Hải sản - Trứng,ground-truth,0,,
