label,priority,pattern
Thịt - Hải sản - Trứng,1,\bthịt\s*(heo|lợn|bò|gà|vịt|dê|ngan|bồ câu|thỏ)\b
Thịt - Hải sản - Trứng,1,\bthịt\s*xay\b
Thịt - Hải sản - Trứng,1,\bthịt\s*ba\s*chỉ\b
Thịt - Hải sản - Trứng,1,\bsườn\b
Thịt - Hải sản - Trứng,1,\bxương\b
Thịt - Hải sản - Trứng,1,\bba\s*rọi\b
Thịt - Hải sản - Trứng,1,\bnạc\s*vai\b
Thịt - Hải sản - Trứng,1,\bnạc\s*đùi\b
Thịt - Hải sản - Trứng,1,\bcốt\s*lết\b
Thịt - Hải sản - Trứng,1,\bchân\s*gà\b
Thịt - Hải sản - Trứng,1,\bgà\s*(nướng|chiên|luộc|rang|hấp)\b
Thịt - Hải sản - Trứng,1,\bcá\s*(nục|hồi|thu|basa|ngừ|tuyết|lóc|tra|bống|hake)\b
Thịt - Hải sản - Trứng,1,\btôm\b
Thịt - Hải sản - Trứng,1,\bmực\b
Thịt - Hải sản - Trứng,1,\bcua\b
Thịt - Hải sản - Trứng,1,\bghẹ\b
Thịt - Hải sản - Trứng,1,\bnghêu\b
Thịt - Hải sản - Trứng,1,\bhào\b
Thịt - Hải sản - Trứng,1,\bsò\b
Thịt - Hải sản - Trứng,1,\btrứng\s*(gà|vịt|cút|omega)\b
Thịt - Hải sản - Trứng,1,\bhải\s*sản\b
Thịt - Hải sản - Trứng,1,\bseafood\b
Thịt - Hải sản - Trứng,1,\bsashimi\b
Thịt - Hải sản - Trứng,1,\bmeat\s*deli\b
Thịt - Hải sản - Trứng,1,\bc\.p\b
Thịt - Hải sản - Trứng,1,\bvissan\b
Rau - Củ - Quả,1,\brau\s*(cải|muống|mồng tơi|dền|ngót|lang|nhút|má|bina|bó xôi)\b
Rau - Củ - Quả,1,\bcải\s*(thảo|xanh|thìa|ngọt|bắp|trắng)\b
Rau - Củ - Quả,1,\bbắp\s*cải\b
Rau - Củ - Quả,1,\bxà\s*lách\b
Rau - Củ - Quả,1,\bsalad\s*(leaves?|xanh)?\b
Rau - Củ - Quả,1,\bnấm\s*(kim châm|rơm|đông cô|linh chi|bào ngư|hương)\b
Rau - Củ - Quả,1,\bkhoai\s*(tây|lang|môn|mỡ)\b
Rau - Củ - Quả,1,\bcủ\s*cải\b
Rau - Củ - Quả,1,\bcà\s*rốt\b
Rau - Củ - Quả,1,\bhành\s*(tây|lá|tím)\b
Rau - Củ - Quả,1,\btỏi\b
Rau - Củ - Quả,1,\bgừng\b
Rau - Củ - Quả,1,\bsả\b
Rau - Củ - Quả,1,\bớt\s*(tươi|đỏ|xanh)\b
Rau - Củ - Quả,1,\bbắp\b
Rau - Củ - Quả,1,\bngô\b
Rau - Củ - Quả,1,\bđậu\b
Rau - Củ - Quả,1,\bcà\s*chua\b
Rau - Củ - Quả,1,\bdưa\s*(leo|chuột|hấu|lưới)\b
Rau - Củ - Quả,1,\bkh[oố]\s*qua\b
Rau - Củ - Quả,1,\bbí\s*(đao|đỏ|ngô)\b
Rau - Củ - Quả,1,\bmăng\b
Rau - Củ - Quả,1,\bxoài\b
Rau - Củ - Quả,1,\bổi\b
Rau - Củ - Quả,1,\btáo\b
Rau - Củ - Quả,1,\blê\b
Rau - Củ - Quả,1,\bcam\b
Rau - Củ - Quả,1,\bquýt\b
Rau - Củ - Quả,1,\bbưởi\b
Rau - Củ - Quả,1,\bchuối\b
Rau - Củ - Quả,1,\bdâu\b
