category,user_id,product_group,item_name,clean,enriched,label_ground,rule_label,rule_conf,ml_label_v3,ml_conf_v3,meat_rule_v3
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli Thịt Heo Xay,meat deli thịt heo xay,meat deli thịt heo xay MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.997,1
Food,68d6a95c2f7243bd8e04e0e0,Thịt Heo,Thit Heo Xay,thit heo xay,thit heo xay MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.999,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli (Sig) Thịt Heo Xay Đặc Biệt,meat deli sig thịt heo xay đặc biệt,meat deli sig thịt heo xay đặc biệt MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.985,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thịt Heo Xay,thịt heo xay,thịt heo xay MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.999,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli Nạc Đùi Heo,meat deli nạc đùi heo,meat deli nạc đùi heo MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.986,1
Food,689eb5bb08d8148e4a0384b4,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,68a1a305db1cbf6dad0dbf4a,Thịt Heo,Meat Deli Thịt Heo Xay,meat deli thịt heo xay,meat deli thịt heo xay MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.997,1
Food,68a1a305db1cbf6dad0dbf4a,Thịt Heo,Nạc Roi Heo Xay-Vs990,nạc roi heo xay-vs990,nạc roi heo xay-vs990 MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.992,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,68d0b02df1a1685ae00ee19c,Thịt Heo,Thit Heo Xay Feddy 500G,thit heo xay feddy,thit heo xay feddy MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.984,1
Food,6881b51a79e3ea00e103549b,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,6881b51a79e3ea00e103549b,Thịt Heo,Nac Roi Heo Xay-Ves990,nac roi heo xay-ves990,nac roi heo xay-ves990 MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.989,1
Food,68d6a95c2f7243bd8e04e0e0,Thịt Heo,Thịt Heo Đùi 160G (Goi),thịt heo đùi goi,thịt heo đùi goi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.687,0
Food,682e8f2d4706b8b051034e82,Thịt Heo,Thịt Heo Xay,thịt heo xay,thịt heo xay MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.999,1
Food,682e8f2d4706b8b051034e82,Thịt Heo,Bán Kèm: Thịt Heo Xay Cp 200G,bán kèm thịt heo xay cp,bán kèm thịt heo xay cp MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.969,1
Food,688b19ece3b42de92105888a,Thịt Heo,Thịt Heo Xay Meat Master 400G,thịt heo xay meat master,thịt heo xay meat master MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.99,1
Food,682a17cf54710210d105c2a4,Thịt Heo,Thịt Heo Xay Meat Master 400G,thịt heo xay meat master,thịt heo xay meat master MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.99,1
Food,688792d8b68ca89b790f8353,Thịt Heo,B.Bao Thit Heo Lc Fo,b bao thit heo lc fo,b bao thit heo lc fo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.672,0
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thit Heo Xay - (Kg),thit heo xay - kg,thit heo xay - kg MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,1.0,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thịt Heo Xay (Kg),thịt heo xay kg,thịt heo xay kg MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.999,1
Food,6738d489628ab66d960f3966,Thịt Heo,Nạc Heo Xay,nạc heo xay,nạc heo xay MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.998,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thit Cot Sot Riua Muon Suon Heo Kg,thit cot sot riua muon suon heo kg,thit cot sot riua muon suon heo kg,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.905,0
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,67933cada86983afe604c1f4,Thịt Heo,Chan Gio Heo C.P,chan gio heo c p,chan gio heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.985,1
Food,673867f7091f3f39bf0e023e,Thịt Heo,Thịt Heo Làm Sạch (Kg),thịt heo làm sạch kg,thịt heo làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.988,0
Food,673708d522767f1db80c7568,Thịt Heo,Chan Gio Heo Duc,chan gio heo duc,chan gio heo duc MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.983,1
Food,673708d522767f1db80c7568,Thịt Heo,Chan Gio Heo C.P,chan gio heo c p,chan gio heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.985,1
Food,646b7058b7d6faddab0a5472,Thịt Heo,Nac Heo Xay,nac heo xay,nac heo xay MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.997,1
Food,673805169d93ff3c9900be74,Thịt Heo,Thit Heo Xay - Cp,thit heo xay - cp,thit heo xay - cp MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.999,1
Food,67360f62f28a1f6b0c0d165a,Thịt Heo,Thit Heo Xay,thit heo xay,thit heo xay MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.999,1
Food,57beceaa7f8b9a0022f6ff68,Thịt Heo,Bap Gio Heo Xong Khoi 500Gr -Hf,bap gio heo xong khoi 500gr -hf,bap gio heo xong khoi 500gr -hf MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.862,1
Food,6736845bf150fd02f000ab49,Thịt Heo,Thịt Heo Nướng (Cây),thịt heo nướng cây,thịt heo nướng cây,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.911,0
Food,6736845bf150fd02f000ab49,Thịt Heo,Thit Heo Nuong (Cay),thit heo nuong cay,thit heo nuong cay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.909,0
Food,6736cf82b14e837fde0bd3a1,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,66dfdbbc9a554ac2f10c4019,Thịt Heo,Ba Roi Heo Nga,ba roi heo nga,ba roi heo nga MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.991,1
Food,6737fd65f0e88722cd04a71f,Thịt Heo,Thit Ba Roi Heo- Cp,thit ba roi heo- cp,thit ba roi heo- cp MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.995,1
Food,673c158ed1e3c171310c923c,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,646b7058b7d6faddab0a5472,Thịt Heo,Nac Heo Xay,nac heo xay,nac heo xay MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.997,1
Food,67933cada86983afe604c1f4,Thịt Heo,Thịt Nạc Heo C.P,thịt nạc heo c p,thịt nạc heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,67933cada86983afe604c1f4,Thịt Heo,Ba Roi Heo C.P,ba roi heo c p,ba roi heo c p MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.998,1
Food,643e6a450b819b09920cae65,Thịt Heo,Heo Xay - (Kg),heo xay - kg,heo xay - kg MEAT_V3,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.999,1
Food,673854dc0936bba1c60e0c0f,Thịt Heo,Meat Deli Thit Heo Lang Cho Mon Nuong,meat deli thit heo lang cho mon nuong,meat deli thit heo lang cho mon nuong MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.982,1
Food,673854dc0936bba1c60e0c0f,Thịt Heo,Meat Deli Chan Gio Heo Rut Xuong,meat deli chan gio heo rut xuong,meat deli chan gio heo rut xuong MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.957,1
Food,673b1c743004a35893009315,Thịt Heo,Chan Gio Heovs990,chan gio heovs990,chan gio heovs990,Thịt - Hải sản - Trứng,Khác,0.0,Thịt - Hải sản - Trứng,0.727,0
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli Thit Heo Xay 26565138003Tc32,meat deli thit heo xay 26565138003tc32,meat deli thit heo xay 26565138003tc32 MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.948,1
Food,6736d85fea24cc986d0c0cf4,Thịt Heo,Meat Deli Thit Heo Xay 26565138004342,meat deli thit heo xay 26565138004342,meat deli thit heo xay 26565138004342 MEAT_V3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,1.0,Thịt - Hải sản - Trứng,0.95,1
