item_name,clean,pred_label
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng
Thit Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng
Meat Deli (Sig) Thịt Heo Xay Đặc Biệt,meat deli sig thịt heo xay đặc biệt,Thịt - Hải sản - Trứng
Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng
Meat Deli Nạc Đùi Heo,meat deli nạc đùi heo,Thịt - Hải sản - Trứng
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng
Meat Deli Thịt Heo Xay,meat deli thịt heo xay,Thịt - Hải sản - Trứng
Nạc Roi Heo Xay-Vs990,nạc roi heo xay-vs990,Thịt - Hải sản - Trứng
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng
Thit Heo Xay Feddy 500G,thịt heo xay feddy,Thịt - Hải sản - Trứng
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng
Nac Roi Heo Xay-Ves990,nac roi heo xay-ves990,Thịt - Hải sản - Trứng
Thịt Heo Đùi 160G (Goi),thịt heo đùi goi,Thịt - Hải sản - Trứng
Thịt Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng
Bán Kèm: Thịt Heo Xay Cp 200G,bán kèm thịt heo xay cp,Thịt - Hải sản - Trứng
Thịt Heo Xay Meat Master 400G,thịt heo xay meat master,Thịt - Hải sản - Trứng
Thịt Heo Xay Meat Master 400G,thịt heo xay meat master,Thịt - Hải sản - Trứng
B.Bao Thit Heo Lc Fo,b bao thịt heo lc fo,Thịt - Hải sản - Trứng
Thit Heo Xay - (Kg),thịt heo xay - kg,Thịt - Hải sản - Trứng
Thịt Heo Xay (Kg),thịt heo xay kg,Thịt - Hải sản - Trứng
Nạc Heo Xay,nạc heo xay,Thịt - Hải sản - Trứng
Thit Cot Sot Riua Muon Suon Heo Kg,thịt cot sot riua muon suon heo kg,Thịt - Hải sản - Trứng
Thịt Nạc Heo C.P,thịt nạc heo c p,Thịt - Hải sản - Trứng
Chan Gio Heo C.P,chan gio heo c p,Thịt - Hải sản - Trứng
Thịt Heo Làm Sạch (Kg),thịt heo làm sạch kg,Thịt - Hải sản - Trứng
Chan Gio Heo Duc,chan gio heo duc,Thịt - Hải sản - Trứng
Chan Gio Heo C.P,chan gio heo c p,Thịt - Hải sản - Trứng
Nac Heo Xay,nac heo xay,Thịt - Hải sản - Trứng
Thit Heo Xay - Cp,thịt heo xay - cp,Thịt - Hải sản - Trứng
Thit Heo Xay,thịt heo xay,Thịt - Hải sản - Trứng
Bap Gio Heo Xong Khoi 500Gr -Hf,bap gio heo xong khoi 500gr -hf,Thịt - Hải sản - Trứng
Thịt Heo Nướng (Cây),thịt heo nướng cây,Thịt - Hải sản - Trứng
Thit Heo Nuong (Cay),thịt heo nuong cay,Thịt - Hải sản - Trứng
