sheet,category_original,label_norm,user_id,product_group,item_name,clean,rule_sub,rule_group,rule_conf,ml_label,ml_conf,final_label,label_source,flag_review,flag_reason
Thức uống,Beverages,Beverages,68d6a95c2f7243bd8e04e0e0,Nước tăng lực,Sting,sting,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.919,Beverages,ml-high,0,
Thức uống,Beverages,Beverages,67408735a9b2e83130072a3e,Nước tăng lực,Nước Tăng Lực,nước tăng lực,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.593,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,692d6407b7ce35b47204f594,Nước tăng lực,Red Bull Nuoc Tang Luc Extra 250,red bull nuoc_tang luc extra 250,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.838,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,6925b5803ce7fab9a20c6fa4,Nước tăng lực,Sting,sting,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.919,Beverages,ml-high,0,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,T3.Sting Dâu Lon Cao 320,t3 sting dâu lon cao 320,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.8,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,689eb5bb08d8148e4a0384b4,Nước tăng lực,Redbull Lon 250Ml,redbull lon,Other,Other,0.0,Beverages,0.617,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,689eb5bb08d8148e4a0384b4,Nước tăng lực,Nước Tăng Lực Number1 Chai 330Ml,nước tăng_lực number1 chai,Other,Other,0.0,Beverages,0.786,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Redbull Lon 250Ml,redbull lon,Other,Other,0.0,Beverages,0.617,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,689eb5bb08d8148e4a0384b4,Nước tăng lực,Wakeup 247 Nuoc Tang Luc Guarana,wakeup 247 nuoc_tang luc guarana,Other,Other,0.0,Beverages,0.69,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,67408735a9b2e83130072a3e,Nước tăng lực,Nuoc Tang Luc Redbull Extra 250Ml,nuoc tang luc redbull extra,Other,Other,0.0,Beverages,0.916,Beverages,ml-high,1,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Nước Tăng Lực Redbull,nước tăng_lực redbull,Other,Other,0.0,Beverages,0.717,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,6738d489628ab66d960f3966,Nước tăng lực,Ntl Sting Dau Tay Do Chai 330Ml,ntl sting dau tay do chai,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.76,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,6738d489628ab66d960f3966,Nước tăng lực,Ntl Warrior Dau 325/,ntl warrior dau 325,Other,Other,0.0,Beverages,0.645,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,6738d489628ab66d960f3966,Nước tăng lực,Warrior Nuoc Tang Luc Dau 320Ml,warrior nuoc_tang luc dau,Other,Other,0.0,Beverages,0.814,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,687a5fbad221e0e2be0a56bf,Nước tăng lực,Vato8 Ntl Sting Vang Sleek Lon 320Ml*6,vato8 ntl sting vang sleek lon 6,Beverages_Alcoholic,Beverages,0.33,Beverages,0.898,Beverages,ml-high,0,
Thức uống,Beverages,Beverages,640199a7b696a17e3d09e0b0,Nước tăng lực,Nước Tăng Lực Redbull Thái Kèm Lon 250Ml,nước tăng_lực redbull_thái kèm lon,Other,Other,0.0,Beverages,0.801,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Red Bull Nuoc Tang Luc 250Ml,red bull nuoc_tang luc,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.83,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,67408735a9b2e83130072a3e,Nước tăng lực,Ntl Red Bull 250Ml,ntl red bull,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.691,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,6738d489628ab66d960f3966,Nước tăng lực,Sting - Sting,sting - sting,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.919,Beverages,ml-high,0,
Thức uống,Beverages,Beverages,67374354b508e677120feef8,Nước tăng lực,Red Bull Nuoc Tang Luc 250Ml,red bull nuoc_tang luc,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.83,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Red Bull Nuoc Tang Luc Extra 250Ml/1 Lon,red bull nuoc_tang luc extra,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.874,Beverages,ml-high,0,
Thức uống,Beverages,Beverages,6735f2b2525129a929080822,Nước tăng lực,N.T.I Sting Dautay,n t i sting dautay,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.919,Beverages,ml-high,0,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Sting Nuoc Tang Luc Nhan Sam 320,sting nuoc tang_luc nhan_sam 320,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.804,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Number 1 Nuoc Tang Luc 330Ml/1 C,number 1 nuoc tang_luc 1 c,Other,Other,0.0,Beverages,0.667,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Red Bull Nuoc Tang Luc 250Ml/1 L,red bull nuoc_tang luc,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.83,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,67399cf8dd88c143010e544d,Nước tăng lực,Nước Tăng Lực Redbull Nk Thái Lon 250Ml Lốc 6,nước tăng_lực redbull nk_thái lon lốc 6,Other,Other,0.0,Beverages,0.788,Beverages,ml-medium,1,
Thức uống,Beverages,Beverages,67408735a9b2e83130072a3e,Nước tăng lực,Nuoc Tang Luc Monster Huong Vi Va Xoai 355Ml/24,nuoc tang luc monster huong_vi va_xoài 24,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.8,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,6736c1ef3942b1dd25031d9c,Nước tăng lực,Ntl Pet Sting Vang,ntl pet sting vang,Beverages_Alcoholic,Beverages,0.33,Beverages,0.844,Beverages,ml-medium,0,
Thức uống,Beverages,Beverages,6736845bf150fd02f000ab49,Nước tăng lực,B.Sting,b sting,Beverages_NonAlcoholic,Beverages,0.33,Beverages,0.919,Beverages,ml-high,0,
