sheet,category_original,label_norm,user_id,product_group,item_name,clean,rule_sub,rule_group,rule_conf,ml_label,ml_conf,final_label,label_source,flag_review,flag_reason
Thức uống,Beverages,Beverages,67374354b508e677120feef8,Sinh Tố,Sinh Tố Bơ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,67693fdbcff7ba0c0f015437,Sinh Tố,Sinh Tố Bơ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,6737e1ab3a1712ec220d49b3,Trà sữa,Tra Sua Double Cheese,tra sua double cheese,Food_Dairy_Eating,Food,0.33,Beverages,0.988,Beverages,ml-high,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,6735ff007bf8a388030c762a,Trà sữa,Tra sua full cheese ball full dior (700ml),tra sua full cheese ball full dior,Food_Dairy_Eating,Food,0.33,Beverages,0.798,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,67389c3d812248b81f00fe25,Trà sữa,Tra Sua Double Cheese M,tra sua double cheese m,Food_Dairy_Eating,Food,0.33,Beverages,0.988,Beverages,ml-high,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,684ab4ee882f2e3ec804b6f4,Trà,Trân Châu Matcha Phô Mai,trân châu_matcha phô mai,Beverages_NonAlcoholic,Beverages,0.33,Food,0.757,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,67652a0885eb75b14706bc71,Trà,LUC TRA CHEESE,luc_tra cheese,Food_Dairy_Eating,Food,0.33,Beverages,0.441,Cần rà soát,uncertain,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,6979dd856da279a4690f7588,Cà phê,Combo 4 (Ts Phô Mai Tươi+ Thạch cà Phê Phô Mai+ Trân Châu),combo 4 ts phô_mai tươi_thạch cà_phê phô mai_trân châu,Food_Snack_Confectionery,Food,0.33,Beverages,0.515,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,6979dd856da279a4690f7588,Cà phê,Combo 5 (Ts Sương Sáo + Thạch Cà Phê Phô Mai),combo 5 ts sương sáo_thạch cà_phê phô mai,Food_Snack_Confectionery,Food,0.33,Beverages,0.444,Cần rà soát,uncertain,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,6952445168699c1aee03af9c,Sữa tươi,Phô mai viên Milo 1 viên Milo,phô mai_viên milo 1 viên milo,Food_Snack_Confectionery,Food,0.33,Food,0.409,Cần rà soát,uncertain,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,69ad944338f67e86b9061453,Sinh tố,Sinh tố bơ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,69ad944338f67e86b9061453,Sinh tố,SINH TỐ BƠ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,69ae403a4cdab405420582b0,Sinh tố,SINH TỐ BƠ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,69ad9b271228bd8a3304ae78,Sinh tố,Sinh tố bơ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,69ad944338f67e86b9061453,Sinh tố,SINH TỐ BƠ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,699d29e13732c023300c9d0c,Sinh tố,Sinh Tố Bơ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,5fe3184fa60af613a02dc667,Sinh tố,Sinh Tố Bơ Bazan Cruise Signature,sinh_tố bơ bazan cruise signature,Food_Dairy_Eating,Food,0.33,Beverages,0.637,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Thức uống,Beverages,Beverages,697b718b13fcf57ee50c1aef,Sinh tố,Sinh tố bơ,sinh_tố bơ,Food_Dairy_Eating,Food,0.33,Beverages,0.668,Beverages,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,67408735a9b2e83130072a3e,Thịt Gà,Ức Gà Nướng Phô Mai,ức gà nướng phô mai,Food_Meat_Seafood,Food,0.33,Food,0.95,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,67678a166e193cb2e90e956f,Thịt Gà,Ức Gà Phô Mai,ức gà phô mai,Food_Meat_Seafood,Food,0.33,Food,0.939,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,67408735a9b2e83130072a3e,Thịt Gà,Ức Gà Nướng Phô Mai,ức gà nướng phô mai,Food_Meat_Seafood,Food,0.33,Food,0.95,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,67678a166e193cb2e90e956f,Thịt Gà,Ức Gà Phô Mai,ức gà phô mai,Food_Meat_Seafood,Food,0.33,Food,0.939,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,682e8f2d4706b8b051034e82,Mì Gói,Mì Cay Nissin Vị Gà Cay Phô Mai Hàn Quốc Gói 72G,mì cay nissin_vị gà cay phô mai hàn_quốc gói,Food_Meat_Seafood,Food,0.33,Food,0.976,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,674717404e4eb3fd1804df5d,Mì Gói,Mì Xào Cay Nissin 70G Bò Cay Phô Mai,mì xào_cay nissin bò cay phô mai,Food_Processed_Ready,Food,0.33,Food,0.991,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,67728272669af363f1018440,Hải Sản,Hải Sản Hoàng Gia - Nướng Phô Mai (Kg),hải_sản hoàng_gia - nướng phô mai kg,Food_Fresh_Produce,Food,0.33,Food,0.98,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,5fe3184fa60af613a02dc667,Tôm,Sa09-Salad Tôm Và Bơ,sa09-salad tôm và bơ,Food_Meat_Seafood,Food,0.33,Food,0.659,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,6407d94ee3693f15520ea4f5,Tôm,Tôm Đút Lò Phô Mai (Dĩa),tôm đút lò phô mai dĩa,Food_Meat_Seafood,Food,0.33,Food,0.931,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,676b9d5545af7e197900de86,Tôm,Tôm Viên Phô Mai,tôm_viên phô mai,Food_Meat_Seafood,Food,0.33,Food,0.83,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,6407d94ee3693f15520ea4f5,Tôm,Tôm Đút Lò Phô Mai (Dĩa),tôm đút lò phô mai dĩa,Food_Meat_Seafood,Food,0.33,Food,0.931,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,676b9d5545af7e197900de86,Tôm,Tôm Viên Phô Mai,tôm_viên phô mai,Food_Meat_Seafood,Food,0.33,Food,0.83,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,676b9d5545af7e197900de86,Cá,Chả Cá Phô Mai,chả cá phô mai,Food_Meat_Seafood,Food,0.33,Food,0.986,Food,ml-high,1,Dairy ăn vs nguyên liệu
Food,Food,Food,6736e63f52bb587a1b038bed,Cá,T3 Đậu Hủ Cá Phô Mai Ho,t3 đậu hủ cá_phô mai ho,Food_Meat_Seafood,Food,0.33,Food,0.661,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,6737fd65f0e88722cd04a71f,Mực,Mực Chiên Bơ Tỏi,mực chiên bơ tỏi,Food_Meat_Seafood,Food,0.33,Food,0.709,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,6741ad670574ae56ac0ef201,Mực,Răng Mực Bắp Bơ (Phần),răng mực bắp_bơ phần,Food_Meat_Seafood,Food,0.33,Food,0.662,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,651ccefea4d1db690006ba12,Mực,Răng Mực Cháy Tỏi/Xào Bơ (Phần),răng mực cháy tỏi xào bơ phần,Food_Meat_Seafood,Food,0.33,Food,0.659,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,673b01f4b93af06f0a0cf6c3,Bánh mì,Bánh Mì Nướng Bơ Mật Ong,bánh_mì nướng_bơ mật_ong,Food_Processed_Ready,Food,0.33,Food,0.849,Food,ml-medium,1,Dairy ăn vs nguyên liệu
Food,Food,Food,68a6d7b5f4c16b87bf021027,Bánh Quy,Nabati Bánh Quy Phô Mai 112G,nabati bánh_quy_phô mai,Food_Dairy_Eating,Food,0.33,Food,0.661,Food,ml-medium,1,Dairy ăn vs nguyên liệu
